Game,Score,Reward,Loss,Q_value
76.0,0.0,-2.9397712432504766,0.36404170332263935,-2.2967005372047424
77.0,0.0,-2.5907375846687524,0.27387572098559093,-1.8771308660507202
78.0,0.0,-1.59483715833174,0.05938741724124387,-0.8567013889551163
79.0,0.0,-1.113361226590591,0.18415757824152812,-0.46864327043294907
80.0,0.0,-2.088634921139386,0.14070511955974832,-1.6253918409347534
81.0,1.0,-2.2092397966699964,0.21451041422559597,-1.246647834777832
82.0,0.0,-2.554795768905882,0.5259983850798259,-1.6403342485427856
83.0,0.0,-1.4113527031710489,0.04794741581521725,-0.7413768172264099
84.0,0.0,-1.9047564654176554,0.0834211508862652,-0.7381919622421265
85.0,0.0,-2.034393043769671,0.13948615918585955,-1.0285177007317543
86.0,0.0,-2.994032247915724,0.305734492980697,-1.6643811464309692
87.0,0.0,-0.7071370649597336,0.1101746955059636,-0.06869108974933624
88.0,0.0,-2.217381286247356,0.3351064412136998,-1.7701467722654343
89.0,0.0,-1.6227481489415925,0.08805317369600138,-1.2892614603042603
90.0,0.0,-4.743442459521611,0.954944086619159,-4.45559424161911
91.0,0.0,-1.5789958886065714,0.11352163532263465,-0.9286637306213379
92.0,0.0,-2.609924187141564,0.2581706669083726,-1.9978721737861633
93.0,0.0,-2.1637354952799654,0.12425603408910106,-0.9786863625049591
94.0,0.0,-3.3953651995766476,0.44332991642295383,-2.5015478134155273
95.0,0.0,-6.331020765620921,1.5626480225931534,-5.151616990566254
96.0,1.0,-1.313026806510838,0.1504931205846434,-0.594539999961853
97.0,0.0,-2.2673440221441403,0.19221046748060577,-1.3287376165390015
98.0,0.0,-0.9923782846450515,0.06614928674603374,-0.4000611677765846
99.0,0.0,-2.4043552090437315,0.20454380822047824,-2.220780372619629
100.0,0.0,-2.108800842734159,0.10342667349435103,-1.4788087606430054
101.0,0.0,-1.504583876159029,0.11095175910812395,-0.8405636847019196
102.0,0.0,-1.7109561055194464,0.1972621822421795,-1.3212222754955292
103.0,0.0,-4.095246692460476,0.6882108901847257,-3.8257519006729126
104.0,0.0,-1.23472211866404,0.08392586191974168,-0.7837423384189606
105.0,1.0,-1.197633777144525,0.06520513315092866,-0.739250123500824
106.0,0.0,-1.381576842198048,0.07901338511234776,-0.9787929356098175
107.0,0.0,-1.8827396491156507,0.13548547869140748,-1.2889541387557983
108.0,0.0,-1.4638757315652264,0.14462031379845175,-0.9190459847450256
109.0,0.0,-2.828873859299378,0.4078891827588865,-2.40698304772377
110.0,0.0,-1.3994888390890017,0.1474029511128735,-1.0130756348371506
111.0,0.0,-2.464201786081903,0.29456787403656814,-2.1998432874679565
112.0,0.0,-1.2226775155692546,0.13004240564256733,-0.9094885289669037
113.0,0.5,0.5784722412299066,0.5040596929611638,0.6730867028236389
114.0,0.0,-1.7198825129832955,0.08156373628714521,-1.3952731490135193
115.0,0.0,-1.9951755352090395,0.1469139812902237,-1.429542064666748
116.0,0.0,-1.9978303052531747,0.20072609816909903,-1.5735725462436676
117.0,0.0,-2.1682852434563715,0.24459233421630508,-1.5640451908111572
118.0,0.0,-1.3476329443470418,0.07280314483850817,-0.8529399335384369
119.0,0.0,-0.9486740802208019,0.03249367887945161,-0.5871005356311798
120.0,0.0,-1.6961462126309557,0.10437928466902424,-1.4512571692466736
121.0,0.0,-2.9846437507886483,0.5272443002062833,-2.79892361164093
122.0,0.0,-2.238617418609567,0.3011625533573796,-2.0114315152168274
123.0,0.0,-13.001503728120532,2.8110559549822938,-12.942063093185425
124.0,0.0,-1.5167854045052134,0.024399912006282255,-1.369901180267334
125.0,0.0,-1.386329560975795,0.05496210700334056,-1.0811384320259094
126.0,0.0,-1.7196990966311783,0.15513406665912913,-1.2300285696983337
127.0,0.0,-1.3032105271491343,0.06025772064203686,-1.1072316467761993
128.0,0.0,-4.801177688517447,0.9045141250512992,-4.254525542259216
129.0,0.0,-2.8355247071656606,0.19644430739227126,-2.371532678604126
130.0,1.0,-1.9185542181459883,0.1429321004231011,-1.449232816696167
131.0,0.0,-1.062466464177172,0.05805511136214403,-0.6906965672969818
132.0,0.0,-3.4234444754886226,0.4427717492527639,-3.3739174604415894
133.0,0.0,-1.0818605321930415,0.08697716732728478,-0.5423632860183716
134.0,0.0,-1.0562392808300973,0.027243144851441824,-0.9603407979011536
135.0,0.0,-0.4619340646113157,0.035762647865340114,-0.36600078642368317
136.0,0.0,-2.42608359115197,0.39797546407979134,-2.3731449246406555
137.0,0.0,-1.9267215400385118,0.13162917407141944,-1.7984150648117065
138.0,0.0,-1.2136686943503725,0.1248553691610336,-0.6545163840055466
139.0,1.0,-2.545831340300691,0.35562508602488596,-2.089920163154602
140.0,0.0,-1.4077490456760458,0.03231323597719893,-1.126701146364212
141.0,0.0,-1.4064899167825733,0.15595516638149606,-1.11544269323349
142.0,0.0,-0.8528109539044848,0.14670372358547562,-0.538456529378891
143.0,0.0,-1.0923548442786135,0.03698602112100009,-0.7748386263847351
144.0,0.0,-2.312843743162634,0.10650278576134495,-1.7816776037216187
145.0,0.0,-1.4145212377162286,0.09212525039911271,-0.6128920167684555
146.0,0.0,-3.965974438126321,0.5686397623794619,-3.783260226249695
147.0,0.0,-1.4853156875211189,0.02081748803919804,-1.2671889662742615
148.0,0.0,-2.190868459828155,0.13932865976967626,-1.8271668553352356
149.0,0.0,-1.755378464307083,0.38136512791080507,-0.6085678339004517
150.0,0.0,-1.8543994880468633,0.1319425580320221,-1.470081388950348
151.0,0.0,-2.0076585910203137,0.2057357759493726,-1.3910728991031647
152.0,0.0,-1.4087660566351463,0.06511236141513166,-1.030054897069931
153.0,0.0,-1.2867843944474022,0.10173211031108806,-1.2730162739753723
154.0,0.0,-1.7977934021776525,0.06599607870018645,-1.7549425959587097
155.0,0.0,-1.6811888941229616,0.0274072227083181,-1.6186978816986084
156.0,0.0,-2.336065197428737,0.10489967465400696,-2.0117008686065674
157.0,0.0,-2.495422020308249,0.06659517108423643,-1.9205297231674194
158.0,1.0,-1.3280548775883736,0.24314464249592102,-1.0666875541210175
159.0,0.0,-2.994237889616932,0.4331555759424176,-2.9634493589401245
160.0,1.0,-1.5985713732561078,0.06745013643895087,-1.4147541522979736
