Game,Score,Epsilon,Reward,Loss,Q_value
221.0,0,779.0,4.0,0.0,7.0
222.0,0,778.0,4.0,0.0,3.0
223.0,0,777.0,3.0,0.0,2.0
224.0,1,776.0,3.0,1.0,1.0
225.0,0,775.0,4.0,0.0,4.0
226.0,2,774.0,3.0,1.0,3.0
227.0,0,773.0,4.0,0.0,4.0
228.0,0,772.0,4.0,0.0,6.0
229.0,0,771.0,3.0,1.0,3.0
230.0,0,770.0,3.0,0.0,3.0
231.0,0,769.0,3.0,0.0,3.0
232.0,1,768.0,3.0,0.0,4.0
233.0,0,767.0,4.0,0.0,5.0
234.0,0,766.0,3.0,0.0,2.0
235.0,0,765.0,4.0,1.0,6.0
236.0,0,764.0,4.0,1.0,1.0
237.0,0,763.0,3.0,1.0,4.0
238.0,0,762.0,3.0,0.0,3.0
239.0,0,761.0,3.0,0.0,7.0
240.0,1,760.0,3.0,1.0,4.0
241.0,1,759.0,4.0,0.0,4.0
242.0,0,758.0,3.0,0.0,4.0
243.0,0,757.0,3.0,0.0,4.0
244.0,0,756.0,3.0,0.0,2.0
245.0,0,755.0,3.0,0.0,6.0
246.0,0,754.0,3.0,0.0,3.0
247.0,1,753.0,3.0,0.0,3.0
248.0,1,752.0,3.0,0.0,1.0
249.0,0,751.0,3.0,0.0,3.0
250.0,0,750.0,3.0,0.0,4.0
251.0,1,749.0,3.0,0.0,3.0
252.0,1,748.0,3.0,0.0,5.0
253.0,0,747.0,3.0,0.0,2.0
254.0,0,746.0,3.0,1.0,8.0
255.0,0,745.0,3.0,0.0,2.0
256.0,0,744.0,3.0,0.0,3.0
257.0,0,743.0,4.0,1.0,4.0
258.0,0,742.0,3.0,1.0,4.0
259.0,0,741.0,3.0,1.0,8.0
260.0,0,740.0,3.0,0.0,3.0
261.0,0,739.0,3.0,0.0,1.0
262.0,0,738.0,3.0,0.0,4.0
263.0,1,737.0,3.0,0.0,4.0
264.0,1,736.0,3.0,0.0,5.0
265.0,0,735.0,4.0,0.0,3.0
266.0,0,734.0,3.0,0.0,2.0
267.0,2,733.0,3.0,0.0,3.0
268.0,0,732.0,3.0,1.0,6.0
269.0,1,731.0,4.0,0.0,2.0
270.0,1,730.0,4.0,0.0,4.0
271.0,0,729.0,4.0,1.0,6.0
272.0,0,728.0,3.0,0.0,1.0
273.0,1,727.0,3.0,0.0,4.0
274.0,0,726.0,3.0,0.0,3.0
275.0,0,725.0,3.0,0.0,2.0
276.0,0,724.0,3.0,0.0,4.0
277.0,1,723.0,4.0,0.0,4.0
278.0,0,722.0,3.0,0.0,3.0
279.0,1,721.0,4.0,0.0,4.0
280.0,1,720.0,3.0,0.0,4.0
281.0,0,719.0,4.0,0.0,2.0
282.0,2,718.0,3.0,0.0,4.0
283.0,0,717.0,3.0,0.0,2.0
284.0,0,716.0,3.0,0.0,3.0
285.0,1,715.0,3.0,0.0,3.0
286.0,0,714.0,3.0,0.0,3.0
287.0,0,713.0,4.0,0.0,5.0
288.0,0,712.0,4.0,0.0,1.0
289.0,1,711.0,4.0,0.0,2.0
290.0,0,710.0,3.0,1.0,6.0
291.0,1,709.0,3.0,0.0,5.0
292.0,1,708.0,4.0,1.0,4.0
293.0,0,707.0,4.0,1.0,4.0
294.0,0,706.0,3.0,0.0,4.0
295.0,0,705.0,4.0,0.0,4.0
296.0,0,704.0,3.0,0.0,2.0
297.0,0,703.0,3.0,0.0,6.0
298.0,0,702.0,3.0,0.0,4.0
299.0,1,701.0,3.0,0.0,2.0
300.0,1,700.0,3.0,0.0,4.0
301.0,0,699.0,4.0,0.0,4.0
302.0,0,698.0,3.0,1.0,4.0
303.0,1,697.0,3.0,0.0,3.0
304.0,0,696.0,3.0,0.0,2.0
305.0,0,695.0,3.0,1.0,-1.0
306.0,0,694.0,3.0,0.0,3.0
307.0,1,693.0,3.0,1.0,1.0
308.0,0,692.0,3.0,1.0,1.0
309.0,0,691.0,3.0,0.0,4.0
310.0,0,690.0,3.0,0.0,3.0
311.0,0,689.0,4.0,0.0,5.0
312.0,0,688.0,3.0,0.0,4.0
313.0,0,687.0,3.0,0.0,5.0
314.0,1,686.0,3.0,0.0,3.0
315.0,0,685.0,3.0,0.0,4.0
316.0,1,684.0,3.0,0.0,4.0
317.0,0,683.0,3.0,0.0,3.0
318.0,0,682.0,4.0,0.0,5.0
319.0,0,681.0,3.0,0.0,3.0
320.0,1,680.0,3.0,0.0,2.0
321.0,0,679.0,4.0,0.0,3.0
322.0,0,678.0,4.0,1.0,2.0
323.0,0,677.0,4.0,0.0,3.0
324.0,1,676.0,4.0,0.0,5.0
325.0,0,675.0,3.0,0.0,0.0
326.0,0,674.0,3.0,0.0,4.0
327.0,0,673.0,3.0,1.0,4.0
328.0,0,672.0,3.0,1.0,3.0
329.0,1,671.0,4.0,0.0,5.0
330.0,0,670.0,3.0,0.0,4.0
331.0,1,669.0,3.0,0.0,3.0
332.0,1,668.0,3.0,0.0,3.0
333.0,0,667.0,4.0,0.0,3.0
334.0,0,666.0,4.0,0.0,4.0
335.0,2,665.0,4.0,1.0,-1.0
336.0,0,664.0,4.0,0.0,5.0
337.0,0,663.0,3.0,1.0,6.0
338.0,2,662.0,3.0,0.0,3.0
339.0,0,661.0,3.0,1.0,6.0
340.0,0,660.0,3.0,0.0,4.0
341.0,0,659.0,3.0,0.0,4.0
342.0,1,658.0,4.0,1.0,-1.0
343.0,1,657.0,4.0,0.0,3.0
344.0,0,656.0,4.0,0.0,5.0
345.0,1,655.0,4.0,0.0,5.0
346.0,1,654.0,4.0,0.0,6.0
347.0,0,653.0,3.0,0.0,7.0
348.0,0,652.0,3.0,0.0,4.0
349.0,0,651.0,3.0,1.0,5.0
350.0,0,650.0,4.0,0.0,3.0
351.0,0,649.0,4.0,0.0,4.0
352.0,0,648.0,3.0,0.0,0.0
353.0,0,647.0,3.0,0.0,3.0
354.0,0,646.0,3.0,0.0,5.0
355.0,2,645.0,4.0,0.0,3.0
356.0,1,644.0,3.0,0.0,5.0
357.0,0,643.0,3.0,0.0,4.0
358.0,1,642.0,3.0,0.0,5.0
359.0,1,641.0,3.0,0.0,2.0
